City	Population	LGA2013	LGA2014	Difference	%Chg	LGApercapita	IncreasePercapita
Bovey 	804	$251,002	$274,751	$23,749	9.46%	$341.73	$29.54
Bowlus 	290	$36,888	$48,049	$11,161	30.26%	$165.69	$38.49
Boy River 	47	$4,648	$6,722	$2,074	44.62%	$143.02	$44.13
Boyd 	175	$65,766	$65,766	$0	0.00%	$375.81	$0.00
Braham 	1,793	$465,196	$549,408	$84,212	18.10%	$306.42	$46.97
Brainerd 	13,590	$3,637,320	$4,019,533	$382,213	10.51%	$295.77	$28.12
Brandon 	489	$86,841	$99,766	$12,925	14.88%	$204.02	$26.43
Breckenridge 	3,386	$1,168,004	$1,444,433	$276,429	23.67%	$426.59	$81.64
Breezy Point 	2,346	$0	$0	$0	0.00%	$0.00	$0.00
Brewster 	473	$180,836	$180,836	$0	0.00%	$382.32	$0.00
Bricelyn 	365	$122,801	$127,624	$4,823	3.93%	$349.65	$13.21
Brook Park 	139	$17,784	$20,633	$2,849	16.02%	$148.44	$20.50
Brooklyn Center 	30,104	$411,378	$1,352,440	$941,062	228.76%	$44.93	$31.26
Brooklyn Park 	75,781	$0	$1,022,553	$1,022,553	0.00%	$13.49	$13.49
Brooks 	141	$28,524	$30,220	$1,696	5.95%	$214.33	$12.03
Brookston 	141	$6,665	$11,105	$4,440	66.62%	$78.76	$31.49
Brooten 	743	$138,694	$170,026	$31,332	22.59%	$228.84	$42.17
Browerville 	790	$206,697	$237,344	$30,647	14.83%	$300.44	$38.79
Browns Valley 	589	$357,430	$357,430	$0	0.00%	$606.84	$0.00
Brownsdale 	676	$168,304	$199,429	$31,125	18.49%	$295.01	$46.04
Brownsville 	466	$58,162	$65,698	$7,536	12.96%	$140.98	$16.17
Brownton 	762	$230,476	$264,771	$34,295	14.88%	$347.47	$45.01
Bruno 	102	$17,945	$18,404	$459	2.56%	$180.43	$4.50
Buckman 	270	$18,509	$28,599	$10,090	54.51%	$105.92	$37.37
Buffalo 	15,453	$145,886	$636,274	$490,388	336.14%	$41.17	$31.73
Buffalo Lake 	733	$203,623	$225,546	$21,923	10.77%	$307.70	$29.91
Buhl 	1,000	$326,569	$354,763	$28,194	8.63%	$354.76	$28.19
Burnsville 	60,306	$0	$85,830	$85,830	0.00%	$1.42	$1.42
Burtrum 	144	$27,162	$31,076	$3,914	14.41%	$215.81	$27.18
Butterfield 	586	$160,498	$187,036	$26,538	16.53%	$319.17	$45.29
Byron 	4,914	$136,035	$257,070	$121,035	88.97%	$52.31	$24.63
Caledonia 	2,868	$832,011	$940,255	$108,244	13.01%	$327.84	$37.74
Callaway 	234	$34,220	$41,903	$7,683	22.45%	$179.07	$32.83
Calumet 	367	$118,691	$120,051	$1,360	1.15%	$327.11	$3.71
Cambridge 	8,111	$426,004	$689,437	$263,433	61.84%	$85.00	$32.48
Campbell 	158	$58,644	$58,644	$0	0.00%	$371.16	$0.00
Canby 	1,795	$664,915	$702,407	$37,492	5.64%	$391.31	$20.89
Cannon Falls 	4,083	$469,740	$616,525	$146,785	31.25%	$151.00	$35.95
Canton 	346	$78,420	$86,600	$8,180	10.43%	$250.29	$23.64
Carlos 	502	$47,513	$71,455	$23,942	50.39%	$142.34	$47.69
Carlton 	862	$226,274	$251,384	$25,110	11.10%	$291.63	$29.13
Carver 	3,724	$40,299	$68,065	$27,766	68.90%	$18.28	$7.46
Cass Lake 	770	$411,951	$411,951	$0	0.00%	$535.00	$0.00
Cedar Mills 	45	$5,968	$6,378	$410	6.87%	$141.73	$9.11
Center City 	628	$26,951	$37,283	$10,332	38.34%	$59.37	$16.45
Centerville 	3,792	$0	$53,444	$53,444	0.00%	$14.09	$14.09
Ceylon 	369	$127,725	$133,908	$6,183	4.84%	$362.89	$16.76
Champlin 	23,089	$0	$237,533	$237,533	0.00%	$10.29	$10.29
Chandler 	270	$68,662	$68,662	$0	0.00%	$254.30	$0.00
Chanhassen 	22,952	$0	$0	$0	0.00%	$0.00	$0.00
Chaska 	23,770	$37,441	$462,669	$425,228	1135.73%	$19.46	$17.89
