City	Population	LGA2013	LGA2014	Difference	%Chg	LGApercapita	IncreasePercapita
Henriette 	71	$10,694	$11,960	$1,266	11.84%	$168.45	$17.83
Herman 	437	$107,927	$116,635	$8,708	8.07%	$266.90	$19.93
Hermantown 	9,414	$331,873	$355,571	$23,698	7.14%	$37.77	$2.52
Heron Lake 	698	$287,970	$295,049	$7,079	2.46%	$422.71	$10.14
Hewitt 	266	$59,776	$65,974	$6,198	10.37%	$248.02	$23.30
Hibbing 	16,361	$7,994,316	$8,082,406	$88,090	1.10%	$494.00	$5.38
Hill City 	633	$54,550	$91,000	$36,450	66.82%	$143.76	$57.58
Hillman 	38	$2,746	$4,115	$1,369	49.85%	$108.29	$36.03
Hills 	686	$140,126	$176,524	$36,398	25.98%	$257.32	$53.06
Hilltop 	744	$116,309	$138,622	$22,313	19.18%	$186.32	$29.99
Hinckley 	1,800	$267,164	$329,587	$62,423	23.37%	$183.10	$34.68
Hitterdal 	201	$38,852	$43,029	$4,177	10.75%	$214.07	$20.78
Hoffman 	681	$139,624	$176,344	$36,720	26.30%	$258.95	$53.92
Hokah 	580	$154,315	$167,109	$12,794	8.29%	$288.12	$22.06
Holdingford 	708	$165,544	$195,217	$29,673	17.92%	$275.73	$41.91
Holland 	187	$46,655	$47,705	$1,050	2.25%	$255.11	$5.61
Hollandale 	303	$38,035	$50,317	$12,282	32.29%	$166.06	$40.53
Holloway 	92	$9,065	$9,065	$0	0.00%	$98.53	$0.00
Holt 	88	$15,629	$17,890	$2,261	14.47%	$203.30	$25.69
Hopkins 	17,591	$0	$289,921	$289,921	0.00%	$16.48	$16.48
Houston 	979	$331,011	$353,618	$22,607	6.83%	$361.20	$23.09
Howard Lake 	1,962	$476,814	$543,982	$67,168	14.09%	$277.26	$34.23
Hoyt Lakes 	2,017	$360,759	$391,194	$30,435	8.44%	$193.95	$15.09
Hugo 	13,332	$0	$0	$0	0.00%	$0.00	$0.00
Humboldt 	45	$12,042	$12,302	$260	2.16%	$273.38	$5.78
Hutchinson 	14,178	$1,784,272	$2,213,199	$428,927	24.04%	$156.10	$30.25
Ihlen 	63	$16,654	$16,654	$0	0.00%	$264.35	$0.00
Independence 	3,504	$0	$0	$0	0.00%	$0.00	$0.00
International Falls 	6,424	$3,710,994	$3,975,561	$264,567	7.13%	$618.86	$41.18
Inver Grove Heights 	33,880	$0	$0	$0	0.00%	$0.00	$0.00
Iona 	137	$37,043	$37,234	$191	0.52%	$271.78	$1.39
Iron Junction 	86	$12,230	$12,315	$85	0.70%	$143.20	$0.99
Ironton 	572	$114,741	$137,846	$23,105	20.14%	$240.99	$40.39
Isanti 	5,251	$313,359	$545,485	$232,126	74.08%	$103.88	$44.21
Isle 	751	$25,272	$36,767	$11,495	45.49%	$48.96	$15.31
Ivanhoe 	559	$203,179	$213,187	$10,008	4.93%	$381.37	$17.90
Jackson 	3,299	$1,086,755	$1,291,985	$205,230	18.88%	$391.63	$62.21
Janesville 	2,256	$724,872	$775,075	$50,203	6.93%	$343.56	$22.25
Jasper 	633	$182,806	$206,478	$23,672	12.95%	$326.19	$37.40
Jeffers 	369	$112,493	$116,128	$3,635	3.23%	$314.71	$9.85
Jenkins 	430	$0	$5,387	$5,387	0.00%	$12.53	$12.53
Johnson 	29	$7,000	$7,000	$0	0.00%	$241.38	$0.00
Jordan 	5,470	$0	$237,091	$237,091	0.00%	$43.34	$43.34
Kandiyohi 	491	$97,952	$114,797	$16,845	17.20%	$233.80	$34.31
Karlstad 	760	$232,848	$260,382	$27,534	11.82%	$342.61	$36.23
Kasota 	675	$143,296	$168,056	$24,760	17.28%	$248.97	$36.68
Kasson 	5,931	$780,209	$982,348	$202,139	25.91%	$165.63	$34.08
Keewatin 	1,068	$343,738	$378,009	$34,271	9.97%	$353.94	$32.09
Kelliher 	262	$107,307	$107,307	$0	0.00%	$409.57	$0.00
Kellogg 	456	$83,859	$93,910	$10,051	11.99%	$205.94	$22.04
Kennedy 	193	$66,764	$66,764	$0	0.00%	$345.93	$0.00
Kenneth 	68	$10,330	$10,536	$206	1.99%	$154.94	$3.03
Kensington 	292	$54,270	$60,471	$6,201	11.43%	$207.09	$21.24
Kent 	81	$20,567	$21,171	$604	2.94%	$261.37	$7.46
Kenyon 	1,815	$466,643	$516,686	$50,043	10.72%	$284.68	$27.57
Kerkhoven 	759	$185,283	$217,168	$31,885	17.21%	$286.12	$42.01
Kerrick 	65	$3,489	$5,352	$1,863	53.40%	$82.34	$28.66
Kettle River 	180	$22,510	$27,092	$4,582	20.36%	$150.51	$25.46
Kiester 	501	$151,029	$165,486	$14,457	9.57%	$330.31	$28.86
Kilkenny 	134	$35,924	$35,924	$0	0.00%	$268.09	$0.00
Kimball 	762	$117,942	$146,839	$28,897	24.50%	$192.70	$37.92
Kinbrae 	12	$201	$201	$0	0.00%	$16.75	$0.00
Kingston 	161	$12,833	$17,977	$5,144	40.08%	$111.66	$31.95
Kinney 	169	$59,925	$59,925	$0	0.00%	$354.59	$0.00
La Crescent 	4,830	$422,847	$515,089	$92,242	21.81%	$106.64	$19.10
Lafayette 	504	$120,676	$129,923	$9,247	7.66%	$257.78	$18.35
Lake Benton 	683	$198,628	$223,630	$25,002	12.59%	$327.42	$36.61
Lake Bronson 	229	$71,423	$74,541	$3,118	4.37%	$325.51	$13.62
Lake City 	5,063	$610,347	$751,581	$141,234	23.14%	$148.45	$27.90
Lake Crystal 	2,549	$621,727	$706,125	$84,398	13.57%	$277.02	$33.11
Lake Elmo 	8,069	$0	$0	$0	0.00%	$0.00	$0.00
Lake Henry 	103	$6,578	$10,510	$3,932	59.78%	$102.04	$38.17
Lake Lillian 	238	$33,155	$39,931	$6,776	20.44%	$167.78	$28.47
Lake Park 	783	$231,084	$253,110	$22,026	9.53%	$323.26	$28.13
Lake Shore 	1,004	$0	$0	$0	0.00%	$0.00	$0.00
Lake St. Croix Beach 	1,051	$25,673	$66,315	$40,642	158.31%	$63.10	$38.67
Lake Wilson 	251	$76,722	$78,109	$1,387	1.81%	$311.19	$5.53
Lakefield 	1,694	$614,261	$650,488	$36,227	5.90%	$384.00	$21.39
Lakeland 	1,796	$33,574	$47,158	$13,584	40.46%	$26.26	$7.56
Lakeland Shores 	311	$0	$0	$0	0.00%	$0.00	$0.00
Lakeville 	55,954	$0	$0	$0	0.00%	$0.00	$0.00
Lamberton 	824	$287,784	$304,386	$16,602	5.77%	$369.40	$20.15
Lancaster 	340	$75,242	$86,599	$11,357	15.09%	$254.70	$33.40
Landfall 	686	$79,977	$96,185	$16,208	20.27%	$140.21	$23.63
Lanesboro 	754	$204,520	$210,284	$5,764	2.82%	$278.89	$7.64
Laporte 	111	$10,915	$10,915	$0	0.00%	$98.33	$0.00
La Prairie 	665	$66,553	$79,909	$13,356	20.07%	$120.16	$20.08
La Salle 	87	$16,635	$17,821	$1,186	7.13%	$204.84	$13.63
Lastrup 	104	$3,428	$5,849	$2,421	70.62%	$56.24	$23.28
Lauderdale 	2,379	$516,153	$535,093	$18,940	3.67%	$224.92	$7.96
Le Center 	2,499	$719,916	$785,606	$65,690	9.12%	$314.37	$26.29
Lengby 	86	$21,916	$21,916	$0	0.00%	$254.84	$0.00
Leonard 	41	$4,390	$5,661	$1,271	28.95%	$138.07	$31.00
Leonidas 	52	$34,670	$34,670	$0	0.00%	$666.73	$0.00
Le Roy 	929	$296,859	$322,499	$25,640	8.64%	$347.15	$27.60
Lester Prairie 	1,730	$425,969	$491,618	$65,649	15.41%	$284.17	$37.95
Le Sueur 	4,058	$767,922	$914,451	$146,529	19.08%	$225.35	$36.11
Lewiston 	1,620	$383,755	$436,424	$52,669	13.72%	$269.40	$32.51
Lewisville 	250	$67,068	$71,850	$4,782	7.13%	$287.40	$19.13
Lexington 	2,049	$335,280	$385,301	$50,021	14.92%	$188.04	$24.41
Lilydale 	623	$0	$0	$0	0.00%	$0.00	$0.00
Lindstrom 	4,442	$134,663	$281,204	$146,541	108.82%	$63.31	$32.99
Lino Lakes 	20,216	$0	$0	$0	0.00%	$0.00	$0.00
Lismore 	227	$65,548	$66,891	$1,343	2.05%	$294.67	$5.92
Litchfield 	6,726	$1,588,853	$1,833,620	$244,767	15.41%	$272.62	$36.39
Little Canada 	9,773	$195,843	$344,825	$148,982	76.07%	$35.28	$15.24
Little Falls 	8,343	$2,089,080	$2,438,918	$349,838	16.75%	$292.33	$41.93
Littlefork 	647	$214,814	$233,889	$19,075	8.88%	$361.50	$29.48
Long Beach 	335	$0	$0	$0	0.00%	$0.00	$0.00
Long Lake 	1,768	$26,410	$26,410	$0	0.00%	$14.94	$0.00
Long Prairie 	3,458	$735,532	$918,834	$183,302	24.92%	$265.71	$53.01
Longville 	156	$0	$0	$0	0.00%	$0.00	$0.00
Lonsdale 	3,674	$245,346	$384,662	$139,316	56.78%	$104.70	$37.92
Loretto 	650	$0	$23,053	$23,053	0.00%	$35.47	$35.47
Louisburg 	47	$7,954	$8,231	$277	3.48%	$175.13	$5.89
Lowry 	299	$49,088	$56,203	$7,115	14.49%	$187.97	$23.80
Lucan 	191	$49,989	$52,427	$2,438	4.88%	$274.49	$12.76
Luverne 	4,745	$1,194,175	$1,349,790	$155,615	13.03%	$284.47	$32.80
Lyle 	551	$163,174	$179,497	$16,323	10.00%	$325.77	$29.62
Lynd 	448	$55,313	$70,074	$14,761	26.69%	$156.42	$32.95
Mabel 	780	$223,127	$255,954	$32,827	14.71%	$328.15	$42.09
Madelia 	2,308	$860,375	$916,865	$56,490	6.57%	$397.26	$24.48
Madison 	1,551	$729,097	$742,727	$13,630	1.87%	$478.87	$8.79
Madison Lake 	1,017	$119,406	$152,988	$33,582	28.12%	$150.43	$33.02
Magnolia 	222	$43,194	$46,802	$3,608	8.35%	$210.82	$16.25
Mahnomen 	1,214	$446,371	$631,386	$185,015	41.45%	$520.09	$152.40
Mahtomedi 	7,676	$0	$0	$0	0.00%	$0.00	$0.00
Manchester 	57	$14,717	$14,717	$0	0.00%	$258.19	$0.00
Manhattan Beach 	57	$0	$0	$0	0.00%	$0.00	$0.00
Mankato 	39,309	$6,228,727	$6,818,164	$589,437	9.46%	$173.45	$14.99
Mantorville 	1,197	$209,003	$257,868	$48,865	23.38%	$215.43	$40.82
Maple Grove 	61,567	$0	$0	$0	0.00%	$0.00	$0.00
Maple Lake 	2,059	$431,190	$479,341	$48,151	11.17%	$232.80	$23.39
Maple Plain 	1,768	$240,047	$248,537	$8,490	3.54%	$140.58	$4.80
Mapleton 	1,756	$486,318	$548,860	$62,542	12.86%	$312.56	$35.62
Mapleview 	176	$50,167	$51,679	$1,512	3.01%	$293.63	$8.59
Maplewood 	38,018	$0	$530,709	$530,709	0.00%	$13.96	$13.96
Marble 	701	$221,504	$241,627	$20,123	9.08%	$344.69	$28.71
Marietta 	162	$50,577	$52,083	$1,506	2.98%	$321.50	$9.30
Marine on St. Croix 	689	$0	$0	$0	0.00%	$0.00	$0.00
Marshall 	13,680	$2,110,608	$2,451,304	$340,696	16.14%	$179.19	$24.90
Mayer 	1,749	$266,365	$290,421	$24,056	9.03%	$166.05	$13.75
Maynard 	366	$121,181	$121,270	$89	0.07%	$331.34	$0.24
Mazeppa 	842	$158,301	$193,236	$34,935	22.07%	$229.50	$41.49
McGrath 	80	$7,837	$11,189	$3,352	42.77%	$139.86	$41.90
McGregor 	391	$89,434	$90,174	$740	0.83%	$230.62	$1.89
McIntosh 	625	$199,366	$220,247	$20,881	10.47%	$352.40	$33.41
McKinley 	128	$51,142	$51,142	$0	0.00%	$399.55	$0.00
Meadowlands 	134	$21,477	$23,936	$2,459	11.45%	$178.63	$18.35
Medford 	1,239	$161,120	$201,256	$40,136	24.91%	$162.43	$32.39
Medicine Lake 	371	$0	$0	$0	0.00%	$0.00	$0.00
Medina 	4,892	$0	$0	$0	0.00%	$0.00	$0.00
Meire Grove 	179	$12,123	$19,881	$7,758	63.99%	$111.07	$43.34
Melrose 	3,598	$614,850	$766,370	$151,520	24.64%	$213.00	$42.11
Menahga 	1,306	$281,960	$345,644	$63,684	22.59%	$264.66	$48.76
Mendota 	198	$25,000	$25,000	$0	0.00%	$126.26	$0.00
Mendota Heights 	11,071	$0	$0	$0	0.00%	$0.00	$0.00
Mentor 	153	$32,824	$35,008	$2,184	6.65%	$228.81	$14.27
Middle River 	303	$78,955	$85,669	$6,714	8.50%	$282.74	$22.16
Miesville 	125	$0	$0	$0	0.00%	$0.00	$0.00
Milaca 	2,946	$602,629	$756,247	$153,618	25.49%	$256.70	$52.14
Milan 	369	$87,281	$98,866	$11,585	13.27%	$267.93	$31.40
Millerville 	106	$7,791	$9,595	$1,804	23.15%	$90.52	$17.02
Millville 	182	$18,803	$23,293	$4,490	23.88%	$127.98	$24.67
Milroy 	252	$57,009	$61,096	$4,087	7.17%	$242.44	$16.22
Miltona 	424	$34,112	$51,587	$17,475	51.23%	$121.67	$41.21
Minneapolis 	382,578	$64,142,268	$76,066,082	$11,923,814	18.59%	$198.83	$31.17
Minneiska 	111	$5,781	$5,781	$0	0.00%	$52.08	$0.00
Minneota 	1,392	$412,603	$459,018	$46,415	11.25%	$329.75	$33.34
Minnesota City 	204	$39,186	$39,596	$410	1.05%	$194.10	$2.01
Minnesota Lake 	687	$128,750	$159,450	$30,700	23.84%	$232.10	$44.69
Minnetonka 	49,734	$0	$0	$0	0.00%	$0.00	$0.00
Minnetonka Beach 	539	$0	$0	$0	0.00%	$0.00	$0.00
Minnetrista 	6,384	$0	$0	$0	0.00%	$0.00	$0.00
Mizpah 	56	$6,496	$7,984	$1,488	22.91%	$142.57	$26.57
Montevideo 	5,383	$1,674,841	$1,978,139	$303,298	18.11%	$367.48	$56.34
Montgomery 	2,956	$628,916	$729,745	$100,829	16.03%	$246.87	$34.11
Monticello 	12,759	$0	$0	$0	0.00%	$0.00	$0.00
Montrose 	2,847	$489,481	$568,485	$79,004	16.14%	$199.68	$27.75
Moorhead 	38,065	$6,790,628	$7,078,368	$287,740	4.24%	$185.95	$7.56
Moose Lake 	2,751	$588,789	$767,080	$178,291	30.28%	$278.84	$64.81
Mora 	3,571	$710,562	$862,161	$151,599	21.34%	$241.43	$42.45
Morgan 	896	$292,157	$322,375	$30,218	10.34%	$359.79	$33.73
Morris 	5,286	$2,110,244	$2,263,770	$153,526	7.28%	$428.26	$29.04
Morristown 	987	$230,442	$276,354	$45,912	19.92%	$279.99	$46.52
Morton 	411	$131,431	$137,149	$5,718	4.35%	$333.70	$13.91
Motley 	671	$131,075	$155,952	$24,877	18.98%	$232.42	$37.07
Mound 	9,052	$0	$291,731	$291,731	0.00%	$32.23	$32.23
Mounds View 	12,155	$232,078	$597,024	$364,946	157.25%	$49.12	$30.02
Mountain Iron 	2,869	$1,156,268	$1,281,590	$125,322	10.84%	$446.70	$43.68
Mountain Lake 	2,104	$807,450	$863,258	$55,808	6.91%	$410.29	$26.52
Murdock 	278	$69,561	$69,561	$0	0.00%	$250.22	$0.00
Myrtle 	48	$11,424	$11,424	$0	0.00%	$238.00	$0.00
Nashua 	68	$0	$0	$0	0.00%	$0.00	$0.00
Nashwauk 	983	$403,480	$403,480	$0	0.00%	$410.46	$0.00
Nassau 	72	$17,638	$17,638	$0	0.00%	$244.97	$0.00
Nelson 	187	$23,990	$27,215	$3,225	13.44%	$145.53	$17.25
Nerstrand 	295	$24,733	$30,488	$5,755	23.27%	$103.35	$19.51
Nevis 	390	$41,623	$53,936	$12,313	29.58%	$138.30	$31.57
New Auburn 	456	$106,481	$121,771	$15,290	14.36%	$267.04	$33.53
New Brighton 	21,456	$0	$493,136	$493,136	0.00%	$22.98	$22.98
New Germany 	372	$11,743	$15,815	$4,072	34.68%	$42.51	$10.95
New Hope 	20,339	$41,843	$532,819	$490,976	1173.38%	$26.20	$24.14
New London 	1,251	$274,860	$308,292	$33,432	12.16%	$246.44	$26.72
New Munich 	320	$69,686	$72,942	$3,256	4.67%	$227.94	$10.18
New Prague 	7,321	$515,478	$770,864	$255,386	49.54%	$105.29	$34.88
New Richland 	1,203	$325,599	$377,598	$51,999	15.97%	$313.88	$43.22
New Trier 	112	$779	$2,483	$1,704	218.74%	$22.17	$15.21
New Ulm 	13,522	$4,111,762	$4,222,711	$110,949	2.70%	$312.28	$8.21
New York Mills 	1,199	$342,150	$376,744	$34,594	10.11%	$314.22	$28.85
Newfolden 	368	$75,781	$88,944	$13,163	17.37%	$241.70	$35.77
Newport 	3,435	$588,876	$627,338	$38,462	6.53%	$182.63	$11.20
Nicollet 	1,093	$179,752	$225,089	$45,337	25.22%	$205.94	$41.48
Nielsville 	90	$21,942	$23,544	$1,602	7.30%	$261.60	$17.80
Nimrod 	69	$2,542	$4,937	$2,395	94.22%	$71.55	$34.71
Nisswa 	1,971	$0	$0	$0	0.00%	$0.00	$0.00
Norcross 	70	$16,497	$16,497	$0	0.00%	$235.67	$0.00
North Branch 	10,125	$146,132	$537,850	$391,718	268.06%	$53.12	$38.69
North Mankato 	13,394	$1,358,107	$1,559,008	$200,901	14.79%	$116.40	$15.00
North Oaks 	4,469	$0	$0	$0	0.00%	$0.00	$0.00
North St. Paul 	11,460	$1,863,726	$1,863,726	$0	0.00%	$162.63	$0.00
Northfield 	20,007	$2,243,397	$2,802,323	$558,926	24.91%	$140.07	$27.94
Northome 	200	$65,984	$65,984	$0	0.00%	$329.92	$0.00
Northrop 	227	$45,444	$51,981	$6,537	14.38%	$228.99	$28.80
Norwood Young America 	3,549	$203,574	$345,515	$141,941	69.72%	$97.36	$39.99
Nowthen 	4,443	$0	$11,565	$11,565	0.00%	$2.60	$2.60
Oak Grove 	8,031	$0	$81,555	$81,555	0.00%	$10.16	$10.16
Oak Park Heights 	4,339	$0	$0	$0	0.00%	$0.00	$0.00
Oakdale 	27,378	$0	$106,035	$106,035	0.00%	$3.87	$3.87
Odessa 	135	$37,973	$39,155	$1,182	3.11%	$290.04	$8.76
Odin 	106	$24,822	$25,566	$744	3.00%	$241.19	$7.02
Ogema 	184	$26,614	$33,585	$6,971	26.19%	$182.53	$37.89
Ogilvie 	369	$123,218	$123,218	$0	0.00%	$333.92	$0.00
Okabena 	188	$49,544	$52,256	$2,712	5.47%	$277.96	$14.43
Oklee 	435	$107,276	$122,695	$15,419	14.37%	$282.06	$35.45
Olivia 	2,484	$706,366	$772,697	$66,331	9.39%	$311.07	$26.70
Onamia 	878	$239,116	$260,943	$21,827	9.13%	$297.20	$24.86
Ormsby 	131	$24,183	$26,389	$2,206	9.12%	$201.44	$16.84
Orono 	7,437	$0	$0	$0	0.00%	$0.00	$0.00
Oronoco 	1,300	$28,182	$66,652	$38,470	136.51%	$51.27	$29.59
Orr 	267	$41,927	$47,502	$5,575	13.30%	$177.91	$20.88
Ortonville 	1,916	$703,420	$734,799	$31,379	4.46%	$383.51	$16.38
Osakis 	1,740	$380,867	$434,108	$53,241	13.98%	$249.49	$30.60
Oslo 	330	$74,947	$82,194	$7,247	9.67%	$249.07	$21.96
Osseo 	2,430	$634,438	$634,438	$0	0.00%	$261.09	$0.00
Ostrander 	254	$52,825	$55,718	$2,893	5.48%	$219.36	$11.39
Otsego 	13,571	$0	$112,711	$112,711	0.00%	$8.31	$8.31
Ottertail 	572	$0	$0	$0	0.00%	$0.00	$0.00
Owatonna 	25,599	$3,153,124	$3,935,915	$782,791	24.83%	$153.75	$30.58
Palisade 	167	$14,295	$18,675	$4,380	30.64%	$111.83	$26.23
Park Rapids 	3,709	$314,126	$459,947	$145,821	46.42%	$124.01	$39.32
Parkers Prairie 	1,011	$225,671	$255,927	$30,256	13.41%	$253.14	$29.93
Paynesville 	2,432	$679,593	$716,095	$36,502	5.37%	$294.45	$15.01
Pease 	242	$19,424	$28,857	$9,433	48.56%	$119.24	$38.98
Pelican Rapids 	2,464	$908,614	$953,191	$44,577	4.91%	$386.85	$18.09
Pemberton 	247	$25,203	$33,030	$7,827	31.06%	$133.72	$31.69
Pennock 	508	$109,031	$129,110	$20,079	18.42%	$254.15	$39.53
Pequot Lakes 	2,162	$59,996	$72,386	$12,390	20.65%	$33.48	$5.73
Perham 	2,985	$459,137	$583,104	$123,967	27.00%	$195.34	$41.53
Perley 	92	$22,100	$22,100	$0	0.00%	$240.22	$0.00
Peterson 	199	$45,675	$45,675	$0	0.00%	$229.52	$0.00
Pierz 	1,393	$362,938	$409,779	$46,841	12.91%	$294.17	$33.63
Pillager 	469	$124,543	$124,651	$108	0.09%	$265.78	$0.23
Pine City 	3,123	$426,553	$551,992	$125,439	29.41%	$176.75	$40.17
Pine Island 	3,263	$498,960	$579,117	$80,157	16.06%	$177.48	$24.57
Pine River 	944	$247,854	$274,000	$26,146	10.55%	$290.25	$27.70
Pine Springs 	408	$0	$0	$0	0.00%	$0.00	$0.00
Pipestone 	4,317	$1,535,857	$1,907,456	$371,599	24.19%	$441.85	$86.08
Plainview 	3,340	$544,648	$696,835	$152,187	27.94%	$208.63	$45.56
Plato 	320	$22,094	$31,643	$9,549	43.22%	$98.88	$29.84
Plummer 	292	$49,211	$56,167	$6,956	14.14%	$192.35	$23.82
Plymouth 	70,576	$0	$0	$0	0.00%	$0.00	$0.00
Porter 	183	$35,295	$35,295	$0	0.00%	$192.87	$0.00
Preston 	1,325	$484,980	$493,987	$9,007	1.86%	$372.82	$6.80
Princeton 	4,698	$612,831	$813,075	$200,244	32.68%	$173.07	$42.62
Prinsburg 	497	$75,659	$89,667	$14,008	18.51%	$180.42	$28.19
Prior Lake 	22,796	$0	$0	$0	0.00%	$0.00	$0.00
Proctor 	3,057	$955,226	$1,019,135	$63,909	6.69%	$333.38	$20.91
Quamba 	123	$15,487	$19,322	$3,835	24.76%	$157.09	$31.18
Racine 	442	$61,097	$72,805	$11,708	19.16%	$164.72	$26.49
Ramsey 	23,668	$0	$91,381	$91,381	0.00%	$3.86	$3.86
Randall 	650	$125,534	$162,363	$36,829	29.34%	$249.79	$56.66
Randolph 	436	$11,015	$22,803	$11,788	107.02%	$52.30	$27.04
Ranier 	145	$21,685	$45,479	$23,794	109.73%	$313.65	$164.10
Raymond 	764	$203,926	$234,243	$30,317	14.87%	$306.60	$39.68
Red Lake Falls 	1,427	$546,204	$582,709	$36,505	6.68%	$408.35	$25.58
Red Wing 	16,459	$619,586	$1,619,586	$1,000,000	161.40%	$98.40	$60.76
Redwood Falls 	5,254	$1,075,270	$1,400,196	$324,926	30.22%	$266.50	$61.84
Regal 	34	$2,115	$2,115	$0	0.00%	$62.21	$0.00
Remer 	370	$56,366	$64,811	$8,445	14.98%	$175.16	$22.82
Renville 	1,287	$408,605	$444,170	$35,565	8.70%	$345.12	$27.63
Revere 	95	$20,990	$21,441	$451	2.15%	$225.69	$4.75
Rice 	1,275	$146,674	$167,931	$21,257	14.49%	$131.71	$16.67
Richfield 	35,228	$1,218,346	$1,937,907	$719,561	59.06%	$55.01	$20.43
Richmond 	1,422	$237,322	$289,007	$51,685	21.78%	$203.24	$36.35
Richville 	96	$14,049	$15,480	$1,431	10.19%	$161.25	$14.91
Riverton 	117	$5,562	$6,428	$866	15.57%	$54.94	$7.40
Robbinsdale 	13,953	$1,170,849	$1,619,093	$448,244	38.28%	$116.04	$32.13
Rochester 	106,769	$5,101,571	$6,930,376	$1,828,805	35.85%	$64.91	$17.13
Rock Creek 	1,628	$133,506	$208,588	$75,082	56.24%	$128.13	$46.12
Rockford 	4,316	$309,689	$453,290	$143,601	46.37%	$105.03	$33.27
Rockville 	2,448	$105,568	$168,093	$62,525	59.23%	$68.67	$25.54
Rogers 	8,597	$0	$97,137	$97,137	0.00%	$11.30	$11.30
Rollingstone 	664	$135,555	$155,260	$19,705	14.54%	$233.83	$29.68
Roosevelt 	151	$18,964	$23,807	$4,843	25.54%	$157.66	$32.07
Roscoe 	102	$21,702	$21,702	$0	0.00%	$212.76	$0.00
Rose Creek 	394	$71,101	$84,232	$13,131	18.47%	$213.79	$33.33
Roseau 	2,633	$569,076	$650,330	$81,254	14.28%	$246.99	$30.86
Rosemount 	21,874	$0	$0	$0	0.00%	$0.00	$0.00
Roseville 	33,660	$0	$224,940	$224,940	0.00%	$6.68	$6.68
Rothsay 	493	$116,916	$129,551	$12,635	10.81%	$262.78	$25.63
Round Lake 	376	$119,605	$121,131	$1,526	1.28%	$322.16	$4.06
Royalton 	1,242	$209,265	$277,375	$68,110	32.55%	$223.33	$54.84
Rush City 	3,079	$620,496	$781,850	$161,354	26.00%	$253.93	$52.40
Rushford 	1,731	$559,018	$584,270	$25,252	4.52%	$337.53	$14.59
Rushford Village 	807	$43,944	$43,944	$0	0.00%	$54.45	$0.00
Rushmore 	342	$101,319	$106,296	$4,977	4.91%	$310.81	$14.55
Russell 	338	$81,277	$87,987	$6,710	8.26%	$260.32	$19.85
Ruthton 	241	$80,121	$80,121	$0	0.00%	$332.45	$0.00
Rutledge 	229	$3,257	$10,566	$7,309	224.41%	$46.14	$31.92
Sabin 	522	$73,496	$95,688	$22,192	30.19%	$183.31	$42.51
Sacred Heart 	548	$192,791	$204,939	$12,148	6.30%	$373.98	$22.17
St. Anthony  (Hennepin and Ramsey Counties)	8,226	$0	$442,967	$442,967	0.00%	$53.85	$53.85
St. Bonifacius 	2,283	$294,333	$339,936	$45,603	15.49%	$148.90	$19.98
St. Louis Park 	45,250	$0	$458,830	$458,830	0.00%	$10.14	$10.14
Sanborn 	339	$121,650	$121,650	$0	0.00%	$358.85	$0.00
Sandstone 	2,849	$869,374	$1,038,284	$168,910	19.43%	$364.44	$59.29
Sargeant 	61	$12,070	$12,070	$0	0.00%	$197.87	$0.00
Sartell 	15,876	$3,554	$110,668	$107,114	3013.90%	$6.97	$6.75
Sauk Centre 	4,317	$966,004	$1,099,851	$133,847	13.86%	$254.77	$31.00
Sauk Rapids 	12,773	$1,579,706	$1,912,498	$332,792	21.07%	$149.73	$26.05
Savage 	26,911	$0	$0	$0	0.00%	$0.00	$0.00
Scandia 	3,936	$0	$0	$0	0.00%	$0.00	$0.00
Scanlon 	991	$175,093	$203,428	$28,335	16.18%	$205.28	$28.59
Seaforth 	86	$16,402	$17,391	$989	6.03%	$202.22	$11.50
Sebeka 	711	$169,550	$209,431	$39,881	23.52%	$294.56	$56.09
Sedan 	45	$7,025	$7,025	$0	0.00%	$156.11	$0.00
Shafer 	1,045	$150,254	$209,982	$59,728	39.75%	$200.94	$57.16
Shakopee 	37,076	$0	$0	$0	0.00%	$0.00	$0.00
Shelly 	191	$65,258	$65,258	$0	0.00%	$341.66	$0.00
Sherburn 	1,137	$291,361	$346,996	$55,635	19.09%	$305.19	$48.93
Shevlin 	176	$24,244	$30,319	$6,075	25.06%	$172.27	$34.52
Shoreview 	25,043	$0	$0	$0	0.00%	$0.00	$0.00
Shorewood 	7,307	$0	$0	$0	0.00%	$0.00	$0.00
Silver Bay 	1,887	$450,020	$498,610	$48,590	10.80%	$264.23	$25.75
Silver Lake 	837	$168,619	$208,209	$39,590	23.48%	$248.76	$47.30
Skyline 	289	$4,344	$10,982	$6,638	152.81%	$38.00	$22.97
Slayton 	2,153	$762,656	$799,337	$36,681	4.81%	$371.27	$17.04
Sleepy Eye 	3,599	$1,274,191	$1,412,211	$138,020	10.83%	$392.39	$38.35
Sobieski 	195	$11,997	$18,511	$6,514	54.30%	$94.93	$33.41
Solway 	96	$4,975	$9,073	$4,098	82.37%	$94.51	$42.69
South Haven 	187	$32,626	$34,496	$1,870	5.73%	$184.47	$10.00
South St. Paul 	20,160	$1,663,720	$2,290,390	$626,670	37.67%	$113.61	$31.08
Spicer 	1,167	$45,440	$57,263	$11,823	26.02%	$49.07	$10.13
Spring Grove 	1,330	$367,822	$411,372	$43,550	11.84%	$309.30	$32.74
Spring Hill 	85	$2,131	$5,192	$3,061	143.64%	$61.08	$36.01
Spring Lake Park 	6,412	$0	$285,196	$285,196	0.00%	$44.48	$44.48
