City,yr2013,yr2014,Difference,PctChg,GEO.display-label,Population,PopHuman,GEO.id,GEO.id2,2014pclga,2014pcincrease,m2013,m2014,mdifference,mpctchg,mpclga,mpcincrease
BABBITT,"$299,542.00","$347,809.00","$48,267.00",16.11%,Babbitt ,1475,"1,475",1600000US2703106,2703106,$235.80,$32.72,299542,347809,48267,.1611,235.80,32.72
BACKUS,"$28,410.00","$28,661.00",$251.00,0.88%,Backus ,250,250,1600000US2703124,2703124,$114.64,$1.00,28410,28661,251,.0088,114.64,1.00
BADGER,"$100,302.00","$108,960.00","$8,658.00",8.63%,Badger ,375,375,1600000US2703160,2703160,$290.56,$23.09,100302,108960,8658,.0863,290.56,23.09
BAGLEY,"$384,402.00","$435,637.00","$51,235.00",13.33%,Bagley ,1392,"1,392",1600000US2703196,2703196,$312.96,$36.81,384402,435637,51235,.1333,312.96,36.81
BALATON,"$198,557.00","$218,928.00","$20,371.00",10.26%,Balaton ,643,643,1600000US2703250,2703250,$340.48,$31.68,198557,218928,20371,.1026,340.48,31.68
BARNESVILLE,"$655,766.00","$754,102.00","$98,336.00",15.00%,Barnesville ,2563,"2,563",1600000US2703574,2703574,$294.23,$38.37,655766,754102,98336,.1500,294.23,38.37
BARNUM,"$128,897.00","$152,227.00","$23,330.00",18.10%,Barnum ,613,613,1600000US2703628,2703628,$248.33,$38.06,128897,152227,23330,.1810,248.33,38.06
BARRETT,"$57,809.00","$73,697.00","$15,888.00",27.48%,Barrett ,415,415,1600000US2703682,2703682,$177.58,$38.28,57809,73697,15888,.2748,177.58,38.28
BARRY,"$2,476.00","$2,476.00",$0.00,0.00%,Barry ,16,16,1600000US2703718,2703718,$154.75,$0.00,2476,2476,0,.0000,154.75,0.00
BATTLE LAKE,"$42,044.00","$74,208.00","$32,164.00",76.50%,Battle Lake ,875,875,1600000US2703970,2703970,$84.81,$36.76,42044,74208,32164,.7650,84.81,36.76
BAUDETTE,"$289,939.00","$297,714.00","$7,775.00",2.68%,Baudette ,1106,"1,106",1600000US2704024,2704024,$269.18,$7.03,289939,297714,7775,.0268,269.18,7.03
BAXTER,$0.00,$0.00,$0.00,0.00%,Baxter ,7610,"7,610",1600000US2704042,2704042,$0.00,$0.00,0,0,0,.0000,0.00,0.00
BAYPORT,"$335,228.00","$483,262.00","$148,034.00",44.16%,Bayport ,3471,"3,471",1600000US2704114,2704114,$139.23,$42.65,335228,483262,148034,.4416,139.23,42.65
BEARDSLEY,"$74,065.00","$74,065.00",$0.00,0.00%,Beardsley ,233,233,1600000US2704204,2704204,$317.88,$0.00,74065,74065,0,.0000,317.88,0.00
BEAVER BAY,"$12,520.00","$12,520.00",$0.00,0.00%,Beaver Bay ,181,181,1600000US2704456,2704456,$69.17,$0.00,12520,12520,0,.0000,69.17,0.00
BEAVER CREEK,"$40,424.00","$48,216.00","$7,792.00",19.28%,Beaver Creek ,297,297,1600000US2704492,2704492,$162.34,$26.24,40424,48216,7792,.1928,162.34,26.24
BECKER,$0.00,$0.00,$0.00,0.00%,Becker ,4538,"4,538",1600000US2704618,2704618,$0.00,$0.00,0,0,0,.0000,0.00,0.00
BEJOU,"$19,645.00","$19,921.00",$276.00,1.40%,Bejou ,89,89,1600000US2704672,2704672,$223.83,$3.10,19645,19921,276,.0140,223.83,3.10
BELGRADE,"$180,345.00","$211,022.00","$30,677.00",17.01%,Belgrade ,740,740,1600000US2704762,2704762,$285.16,$41.46,180345,211022,30677,.1701,285.16,41.46
BELLE PLAINE,"$54,473.00","$279,862.00","$225,389.00",413.76%,Belle Plaine ,6661,"6,661",1600000US2704834,2704834,$42.02,$33.84,54473,279862,225389,4.1376,42.02,33.84
BELLECHESTER,"$17,774.00","$21,312.00","$3,538.00",19.91%,Bellechester ,175,175,1600000US2704798,2704798,$121.78,$20.22,17774,21312,3538,.1991,121.78,20.22
BELLINGHAM,"$61,143.00","$61,143.00",$0.00,0.00%,Bellingham ,168,168,1600000US2704960,2704960,$363.95,$0.00,61143,61143,0,.0000,363.95,0.00
BELTRAMI,"$25,817.00","$25,817.00",$0.00,0.00%,Beltrami ,107,107,1600000US2705014,2705014,$241.28,$0.00,25817,25817,0,.0000,241.28,0.00
BELVIEW,"$103,367.00","$114,645.00","$11,278.00",10.91%,Belview ,384,384,1600000US2705050,2705050,$298.55,$29.37,103367,114645,11278,.1091,298.55,29.37
BEMIDJI,"$2,906,194.00","$3,211,280.00","$305,086.00",10.50%,Bemidji ,13431,"13,431",1600000US2705068,2705068,$239.09,$22.72,2906194,3211280,305086,.1050,239.09,22.72
BENA,"$27,257.00","$29,545.00","$2,288.00",8.39%,Bena ,116,116,1600000US2705104,2705104,$254.70,$19.72,27257,29545,2288,.0839,254.70,19.72
BENSON,"$776,650.00","$952,025.00","$175,375.00",22.58%,Benson ,3240,"3,240",1600000US2705212,2705212,$293.83,$54.13,776650,952025,175375,.2258,293.83,54.13
BERTHA,"$132,871.00","$149,118.00","$16,247.00",12.23%,Bertha ,497,497,1600000US2705482,2705482,$300.04,$32.69,132871,149118,16247,.1223,300.04,32.69
BETHEL,"$35,117.00","$46,105.00","$10,988.00",31.29%,Bethel ,466,466,1600000US2705554,2705554,$98.94,$23.58,35117,46105,10988,.3129,98.94,23.58
BIG FALLS,"$67,827.00","$70,673.00","$2,846.00",4.20%,Big Falls ,236,236,1600000US2705680,2705680,$299.46,$12.06,67827,70673,2846,.0420,299.46,12.06
BIG LAKE,"$156,014.00","$481,542.00","$325,528.00",208.65%,Big Lake ,10060,"10,060",1600000US2705752,2705752,$47.87,$32.36,156014,481542,325528,2.0865,47.87,32.36
BIGELOW,"$49,185.00","$55,155.00","$5,970.00",12.14%,Bigelow ,235,235,1600000US2705644,2705644,$234.70,$25.40,49185,55155,5970,.1214,234.70,25.40
BIGFORK,"$80,363.00","$94,302.00","$13,939.00",17.35%,Bigfork ,446,446,1600000US2705698,2705698,$211.44,$31.25,80363,94302,13939,.1735,211.44,31.25
BINGHAM LAKE,"$26,063.00","$26,063.00",$0.00,0.00%,Bingham Lake ,126,126,1600000US2705896,2705896,$206.85,$0.00,26063,26063,0,.0000,206.85,0.00
BIRCHWOOD,$0.00,$0.00,$0.00,0.00%,Birchwood Village ,870,870,1600000US2706058,2706058,$0.00,$0.00,0,0,0,.0000,0.00,0.00
BIRD ISLAND,"$370,344.00","$388,606.00","$18,262.00",4.93%,Bird Island ,1042,"1,042",1600000US2706076,2706076,$372.94,$17.53,370344,388606,18262,.0493,372.94,17.53
