City,yr2013,yr2014,Difference,PctChg,GEO.display-label,Population,PopHuman,GEO.id,GEO.id2,2014pclga,2014pcincrease,m2013,m2014,mdifference,mpctchg,mpclga,mpcincrease
CLONTARF,"$22,120.00","$23,664.00","$1,544.00",6.98%,Clontarf ,164,164,1600000US2712124,2712124,$144.29,$9.41,22120,23664,1544,.0698,144.29,9.41
CLOQUET,"$1,968,020.00","$2,299,125.00","$331,105.00",16.82%,Cloquet ,12124,"12,124",1600000US2712160,2712160,$189.63,$27.31,1968020,2299125,331105,.1682,189.63,27.31
COATES,$0.00,$0.00,$0.00,0.00%,Coates ,161,161,1600000US2712376,2712376,$0.00,$0.00,0,0,0,.0000,0.00,0.00
COBDEN,"$3,505.00","$3,505.00",$0.00,0.00%,Cobden ,36,36,1600000US2712394,2712394,$97.36,$0.00,3505,3505,0,.0000,97.36,0.00
COHASSET,$0.00,$0.00,$0.00,0.00%,Cohasset ,2698,"2,698",1600000US2712412,2712412,$0.00,$0.00,0,0,0,.0000,0.00,0.00
COKATO,"$435,043.00","$552,496.00","$117,453.00",27.00%,Cokato ,2694,"2,694",1600000US2712430,2712430,$205.08,$43.60,435043,552496,117453,.2700,205.08,43.60
COLD SPRING,"$456,875.00","$590,149.00","$133,274.00",29.17%,Cold Spring ,4025,"4,025",1600000US2712484,2712484,$146.62,$33.11,456875,590149,133274,.2917,146.62,33.11
COLERAINE,"$351,624.00","$390,665.00","$39,041.00",11.10%,Coleraine ,1970,"1,970",1600000US2712502,2712502,$198.31,$19.82,351624,390665,39041,.1110,198.31,19.82
COLOGNE,"$149,495.00","$193,125.00","$43,630.00",29.18%,Cologne ,1519,"1,519",1600000US2712664,2712664,$127.14,$28.72,149495,193125,43630,.2918,127.14,28.72
COLUMBIA HEIGHTS,"$895,180.00","$1,404,176.00","$508,996.00",56.86%,Columbia Heights ,19496,"19,496",1600000US2712700,2712700,$72.02,$26.11,895180,1404176,508996,.5686,72.02,26.11
COLUMBUS,$0.00,$0.00,$0.00,0.00%,Columbus ,3914,"3,914",1600000US2712718,2712718,$0.00,$0.00,0,0,0,.0000,0.00,0.00
COMFREY,"$99,593.00","$105,802.00","$6,209.00",6.23%,Comfrey ,382,382,1600000US2712772,2712772,$276.97,$16.25,99593,105802,6209,.0623,276.97,16.25
COMSTOCK,"$16,780.00","$16,780.00",$0.00,0.00%,Comstock ,93,93,1600000US2712862,2712862,$180.43,$0.00,16780,16780,0,.0000,180.43,0.00
CONGER,"$19,961.00","$24,200.00","$4,239.00",21.24%,Conger ,146,146,1600000US2712952,2712952,$165.75,$29.03,19961,24200,4239,.2124,165.75,29.03
COOK,"$156,578.00","$160,937.00","$4,359.00",2.78%,Cook ,574,574,1600000US2713006,2713006,$280.38,$7.59,156578,160937,4359,.0278,280.38,7.59
COON RAPIDS,$0.00,"$934,541.00","$934,541.00",0.00%,Coon Rapids ,61476,"61,476",1600000US2713114,2713114,$15.20,$15.20,0,934541,934541,.0000,15.20,15.20
CORCORAN,$0.00,"$7,058.00","$7,058.00",0.00%,Corcoran ,5379,"5,379",1600000US2713168,2713168,$1.31,$1.31,0,7058,7058,.0000,1.31,1.31
CORRELL,"$8,253.00","$8,280.00",$27.00,0.33%,Correll ,34,34,1600000US2713384,2713384,$243.53,$0.79,8253,8280,27,.0033,243.53,0.79
COSMOS,"$128,232.00","$141,232.00","$13,000.00",10.14%,Cosmos ,473,473,1600000US2713420,2713420,$298.59,$27.48,128232,141232,13000,.1014,298.59,27.48
COTTAGE GROVE,$0.00,"$59,626.00","$59,626.00",0.00%,Cottage Grove ,34589,"34,589",1600000US2713456,2713456,$1.72,$1.72,0,59626,59626,.0000,1.72,1.72
COTTONWOOD,"$259,768.00","$293,140.00","$33,372.00",12.85%,Cottonwood ,1212,"1,212",1600000US2713564,2713564,$241.86,$27.53,259768,293140,33372,.1285,241.86,27.53
COURTLAND,"$61,726.00","$75,819.00","$14,093.00",22.83%,Courtland ,611,611,1600000US2713582,2713582,$124.09,$23.07,61726,75819,14093,.2283,124.09,23.07
CROMWELL,"$24,038.00","$26,305.00","$2,267.00",9.43%,Cromwell ,234,234,1600000US2713780,2713780,$112.41,$9.69,24038,26305,2267,.0943,112.41,9.69
CROOKSTON,"$3,056,748.00","$3,516,134.00","$459,386.00",15.03%,Crookston ,7891,"7,891",1600000US2713870,2713870,$445.59,$58.22,3056748,3516134,459386,.1503,445.59,58.22
CROSBY,"$756,240.00","$814,742.00","$58,502.00",7.74%,Crosby ,2386,"2,386",1600000US2713924,2713924,$341.47,$24.52,756240,814742,58502,.0774,341.47,24.52
CROSSLAKE,$0.00,$0.00,$0.00,0.00%,Crosslake ,2141,"2,141",1600000US2713978,2713978,$0.00,$0.00,0,0,0,.0000,0.00,0.00
CRYSTAL,"$1,455,066.00","$1,643,830.00","$188,764.00",12.97%,Crystal ,22151,"22,151",1600000US2714158,2714158,$74.21,$8.52,1455066,1643830,188764,.1297,74.21,8.52
CURRIE,"$68,556.00","$69,999.00","$1,443.00",2.10%,Currie ,233,233,1600000US2714320,2714320,$300.42,$6.19,68556,69999,1443,.0210,300.42,6.19
CUYUNA,"$2,164.00","$7,755.00","$5,591.00",258.36%,Cuyuna ,332,332,1600000US2714428,2714428,$23.36,$16.84,2164,7755,5591,2.5836,23.36,16.84
CYRUS,"$75,669.00","$81,155.00","$5,486.00",7.25%,Cyrus ,288,288,1600000US2714446,2714446,$281.79,$19.05,75669,81155,5486,.0725,281.79,19.05
DAKOTA,"$34,858.00","$41,819.00","$6,961.00",19.97%,Dakota ,323,323,1600000US2714518,2714518,$129.47,$21.55,34858,41819,6961,.1997,129.47,21.55
DALTON,"$47,177.00","$55,157.00","$7,980.00",16.92%,Dalton ,253,253,1600000US2714626,2714626,$218.01,$31.54,47177,55157,7980,.1692,218.01,31.54
DANUBE,"$133,480.00","$147,647.00","$14,167.00",10.61%,Danube ,505,505,1600000US2714716,2714716,$292.37,$28.05,133480,147647,14167,.1061,292.37,28.05
DANVERS,"$9,517.00","$9,517.00",$0.00,0.00%,Danvers ,97,97,1600000US2714734,2714734,$98.11,$0.00,9517,9517,0,.0000,98.11,0.00
DARFUR,"$38,379.00","$38,379.00",$0.00,0.00%,Darfur ,108,108,1600000US2714770,2714770,$355.36,$0.00,38379,38379,0,.0000,355.36,0.00
DARWIN,"$37,512.00","$46,517.00","$9,005.00",24.01%,Darwin ,350,350,1600000US2714842,2714842,$132.91,$25.73,37512,46517,9005,.2401,132.91,25.73
DASSEL,"$301,387.00","$359,724.00","$58,337.00",19.36%,Dassel ,1469,"1,469",1600000US2714878,2714878,$244.88,$39.71,301387,359724,58337,.1936,244.88,39.71
DAWSON,"$540,099.00","$575,229.00","$35,130.00",6.50%,Dawson ,1540,"1,540",1600000US2714968,2714968,$373.53,$22.81,540099,575229,35130,.0650,373.53,22.81
DAYTON,$0.00,"$21,623.00","$21,623.00",0.00%,Dayton ,4671,"4,671",1600000US2715022,2715022,$4.63,$4.63,0,21623,21623,.0000,4.63,4.63
DEEPHAVEN,$0.00,$0.00,$0.00,0.00%,Deephaven ,3642,"3,642",1600000US2715148,2715148,$0.00,$0.00,0,0,0,.0000,0.00,0.00
DEER CREEK,"$57,092.00","$66,318.00","$9,226.00",16.16%,Deer Creek ,322,322,1600000US2715184,2715184,$205.96,$28.65,57092,66318,9226,.1616,205.96,28.65
DEER RIVER,"$281,538.00","$308,880.00","$27,342.00",9.71%,Deer River ,930,930,1600000US2715310,2715310,$332.13,$29.40,281538,308880,27342,.0971,332.13,29.40
DEERWOOD,"$2,495.00","$10,833.00","$8,338.00",334.19%,Deerwood ,532,532,1600000US2715346,2715346,$20.36,$15.67,2495,10833,8338,3.3419,20.36,15.67
DEGRAFF,"$24,544.00","$24,544.00",$0.00,0.00%,De Graff ,115,115,1600000US2715418,2715418,$213.43,$0.00,24544,24544,0,.0000,213.43,0.00
DELANO,$0.00,"$177,705.00","$177,705.00",0.00%,Delano ,5464,"5,464",1600000US2715454,2715454,$32.52,$32.52,0,177705,177705,.0000,32.52,32.52
DELAVAN,"$48,781.00","$48,781.00",$0.00,0.00%,Delavan ,179,179,1600000US2715472,2715472,$272.52,$0.00,48781,48781,0,.0000,272.52,0.00
DELHI,"$15,650.00","$15,650.00",$0.00,0.00%,Delhi ,70,70,1600000US2715544,2715544,$223.57,$0.00,15650,15650,0,.0000,223.57,0.00
DELLWOOD,$0.00,$0.00,$0.00,0.00%,Dellwood ,1063,"1,063",1600000US2715616,2715616,$0.00,$0.00,0,0,0,.0000,0.00,0.00
DENHAM,$234.00,$234.00,$0.00,0.00%,Denham ,35,35,1600000US2715670,2715670,$6.69,$0.00,234,234,0,.0000,6.69,0.00
DENNISON,"$8,798.00","$10,617.00","$1,819.00",20.68%,Dennison ,212,212,1600000US2715706,2715706,$50.08,$8.58,8798,10617,1819,.2068,50.08,8.58
DENT,"$41,956.00","$44,787.00","$2,831.00",6.75%,Dent ,192,192,1600000US2715724,2715724,$233.27,$14.74,41956,44787,2831,.0675,233.27,14.74
DETROIT LAKES,"$690,536.00","$782,188.00","$91,652.00",13.27%,Detroit Lakes ,8569,"8,569",1600000US2715832,2715832,$91.28,$10.70,690536,782188,91652,.1327,91.28,10.70
DEXTER,"$70,342.00","$72,139.00","$1,797.00",2.55%,Dexter ,341,341,1600000US2715886,2715886,$211.55,$5.27,70342,72139,1797,.0255,211.55,5.27
DILWORTH,"$493,847.00","$603,809.00","$109,962.00",22.27%,Dilworth ,4024,"4,024",1600000US2715976,2715976,$150.05,$27.33,493847,603809,109962,.2227,150.05,27.33
DODGE CENTER,"$624,915.00","$682,359.00","$57,444.00",9.19%,Dodge Center ,2670,"2,670",1600000US2715994,2715994,$255.57,$21.51,624915,682359,57444,.0919,255.57,21.51
DONALDSON,"$4,638.00","$4,844.00",$206.00,4.44%,Donaldson ,42,42,1600000US2716030,2716030,$115.33,$4.90,4638,4844,206,.0444,115.33,4.90
DONNELLY,"$50,497.00","$54,194.00","$3,697.00",7.32%,Donnelly ,241,241,1600000US2716084,2716084,$224.87,$15.34,50497,54194,3697,.0732,224.87,15.34
DORAN,"$12,030.00","$13,133.00","$1,103.00",9.17%,Doran ,55,55,1600000US2716156,2716156,$238.78,$20.05,12030,13133,1103,.0917,238.78,20.05
DOVER,"$93,649.00","$129,014.00","$35,365.00",37.76%,Dover ,735,735,1600000US2716264,2716264,$175.53,$48.12,93649,129014,35365,.3776,175.53,48.12
DOVRAY,"$13,705.00","$13,705.00",$0.00,0.00%,Dovray ,57,57,1600000US2716300,2716300,$240.44,$0.00,13705,13705,0,.0000,240.44,0.00
DULUTH,"$27,437,478.00","$29,030,643.00","$1,593,165.00",5.81%,Duluth ,86265,"86,265",1600000US2717000,2717000,$336.53,$18.47,27437478,29030643,1593165,.0581,336.53,18.47
DUMONT,"$19,699.00","$19,699.00",$0.00,0.00%,Dumont ,100,100,1600000US2717090,2717090,$196.99,$0.00,19699,19699,0,.0000,196.99,0.00
DUNDAS,"$87,420.00","$149,684.00","$62,264.00",71.22%,Dundas ,1367,"1,367",1600000US2717126,2717126,$109.50,$45.55,87420,149684,62264,.7122,109.50,45.55
DUNDEE,"$21,200.00","$21,200.00",$0.00,0.00%,Dundee ,68,68,1600000US2717144,2717144,$311.76,$0.00,21200,21200,0,.0000,311.76,0.00
DUNNELL,"$61,112.00","$61,112.00",$0.00,0.00%,Dunnell ,167,167,1600000US2717180,2717180,$365.94,$0.00,61112,61112,0,.0000,365.94,0.00
EAGAN,$0.00,$0.00,$0.00,0.00%,Eagan ,64206,"64,206",1600000US2717288,2717288,$0.00,$0.00,0,0,0,.0000,0.00,0.00
EAGLE BEND,"$156,373.00","$172,138.00","$15,765.00",10.08%,Eagle Bend ,535,535,1600000US2717342,2717342,$321.75,$29.47,156373,172138,15765,.1008,321.75,29.47
EAGLE LAKE,"$510,589.00","$599,953.00","$89,364.00",17.50%,Eagle Lake ,2422,"2,422",1600000US2717378,2717378,$247.71,$36.90,510589,599953,89364,.1750,247.71,36.90
EAST BETHEL,$0.00,"$23,470.00","$23,470.00",0.00%,East Bethel ,11626,"11,626",1600000US2717486,2717486,$2.02,$2.02,0,23470,23470,.0000,2.02,2.02
EAST GRAND FORKS,"$2,471,550.00","$2,514,148.00","$42,598.00",1.72%,East Grand Forks ,8601,"8,601",1600000US2717612,2717612,$292.31,$4.95,2471550,2514148,42598,.0172,292.31,4.95
EAST GULL LAKE,$0.00,$0.00,$0.00,0.00%,East Gull Lake ,1004,"1,004",1600000US2717630,2717630,$0.00,$0.00,0,0,0,.0000,0.00,0.00
EASTON,"$31,062.00","$33,834.00","$2,772.00",8.92%,Easton ,199,199,1600000US2717738,2717738,$170.02,$13.93,31062,33834,2772,.0892,170.02,13.93
ECHO,"$70,726.00","$73,911.00","$3,185.00",4.50%,Echo ,278,278,1600000US2717900,2717900,$265.87,$11.46,70726,73911,3185,.0450,265.87,11.46
EDEN PRAIRIE,$0.00,$0.00,$0.00,0.00%,Eden Prairie ,60797,"60,797",1600000US2718116,2718116,$0.00,$0.00,0,0,0,.0000,0.00,0.00
EDEN VALLEY,"$228,099.00","$276,647.00","$48,548.00",21.28%,Eden Valley ,1042,"1,042",1600000US2718134,2718134,$265.50,$46.59,228099,276647,48548,.2128,265.50,46.59
EDGERTON,"$293,365.00","$333,398.00","$40,033.00",13.65%,Edgerton ,1189,"1,189",1600000US2718152,2718152,$280.40,$33.67,293365,333398,40033,.1365,280.40,33.67
EDINA,$0.00,$0.00,$0.00,0.00%,Edina ,47941,"47,941",1600000US2718188,2718188,$0.00,$0.00,0,0,0,.0000,0.00,0.00
EFFIE,"$9,800.00","$13,283.00","$3,483.00",35.54%,Effie ,123,123,1600000US2718260,2718260,$107.99,$28.32,9800,13283,3483,.3554,107.99,28.32
EITZEN,"$32,958.00","$37,749.00","$4,791.00",14.54%,Eitzen ,243,243,1600000US2718368,2718368,$155.35,$19.72,32958,37749,4791,.1454,155.35,19.72
ELBA,"$29,764.00","$29,764.00",$0.00,0.00%,Elba ,152,152,1600000US2718386,2718386,$195.82,$0.00,29764,29764,0,.0000,195.82,0.00
ELBOW LAKE,"$349,082.00","$388,699.00","$39,617.00",11.35%,Elbow Lake ,1176,"1,176",1600000US2718458,2718458,$330.53,$33.69,349082,388699,39617,.1135,330.53,33.69
ELGIN,"$281,551.00","$320,525.00","$38,974.00",13.84%,Elgin ,1089,"1,089",1600000US2718530,2718530,$294.33,$35.79,281551,320525,38974,.1384,294.33,35.79
ELIZABETH,"$29,650.00","$34,936.00","$5,286.00",17.83%,Elizabeth ,173,173,1600000US2718566,2718566,$201.94,$30.55,29650,34936,5286,.1783,201.94,30.55
ELK RIVER,$0.00,"$225,894.00","$225,894.00",0.00%,Elk River ,22974,"22,974",1600000US2718674,2718674,$9.83,$9.83,0,225894,225894,.0000,9.83,9.83
ELKO NEW MARKET,"$164,986.00","$206,682.00","$41,696.00",25.27%,Elko New Market ,4110,"4,110",1600000US2718662,2718662,$50.29,$10.15,164986,206682,41696,.2527,50.29,10.15
ELKTON,"$11,799.00","$13,618.00","$1,819.00",15.42%,Elkton ,141,141,1600000US2718728,2718728,$96.58,$12.90,11799,13618,1819,.1542,96.58,12.90
ELLENDALE,"$124,811.00","$160,351.00","$35,540.00",28.48%,Ellendale ,691,691,1600000US2718746,2718746,$232.06,$51.43,124811,160351,35540,.2848,232.06,51.43
ELLSWORTH,"$161,977.00","$168,787.00","$6,810.00",4.20%,Ellsworth ,463,463,1600000US2718836,2718836,$364.55,$14.71,161977,168787,6810,.0420,364.55,14.71
ELMDALE,"$5,281.00","$7,948.00","$2,667.00",50.50%,Elmdale ,116,116,1600000US2718872,2718872,$68.52,$22.99,5281,7948,2667,.5050,68.52,22.99
ELMORE,"$216,939.00","$240,516.00","$23,577.00",10.87%,Elmore ,663,663,1600000US2718998,2718998,$362.77,$35.56,216939,240516,23577,.1087,362.77,35.56
ELROSA,"$24,938.00","$29,763.00","$4,825.00",19.35%,Elrosa ,211,211,1600000US2719088,2719088,$141.06,$22.87,24938,29763,4825,.1935,141.06,22.87
ELY,"$1,713,366.00","$2,050,945.00","$337,579.00",19.70%,Ely ,3460,"3,460",1600000US2719142,2719142,$592.76,$97.57,1713366,2050945,337579,.1970,592.76,97.57
ELYSIAN,"$20,524.00","$20,524.00",$0.00,0.00%,Elysian ,652,652,1600000US2719160,2719160,$31.48,$0.00,20524,20524,0,.0000,31.48,0.00
EMILY,$0.00,$0.00,$0.00,0.00%,Emily ,813,813,1600000US2719286,2719286,$0.00,$0.00,0,0,0,.0000,0.00,0.00
EMMONS,"$80,748.00","$93,587.00","$12,839.00",15.90%,Emmons ,391,391,1600000US2719340,2719340,$239.35,$32.84,80748,93587,12839,.1590,239.35,32.84
ERHARD,"$25,909.00","$28,668.00","$2,759.00",10.65%,Erhard ,148,148,1600000US2719556,2719556,$193.70,$18.64,25909,28668,2759,.1065,193.70,18.64
ERSKINE,"$95,104.00","$119,205.00","$24,101.00",25.34%,Erskine ,503,503,1600000US2719700,2719700,$236.99,$47.91,95104,119205,24101,.2534,236.99,47.91
EVAN,"$14,726.00","$15,198.00",$472.00,3.21%,Evan ,86,86,1600000US2719880,2719880,$176.72,$5.49,14726,15198,472,.0321,176.72,5.49
EVANSVILLE,"$119,255.00","$146,958.00","$27,703.00",23.23%,Evansville ,612,612,1600000US2719898,2719898,$240.13,$45.27,119255,146958,27703,.2323,240.13,45.27
EVELETH,"$2,186,891.00","$2,525,767.00","$338,876.00",15.50%,Eveleth ,3718,"3,718",1600000US2719934,2719934,$679.33,$91.14,2186891,2525767,338876,.1550,679.33,91.14
EXCELSIOR,$0.00,$0.00,$0.00,0.00%,Excelsior ,2188,"2,188",1600000US2720078,2720078,$0.00,$0.00,0,0,0,.0000,0.00,0.00
EYOTA,"$422,699.00","$494,546.00","$71,847.00",17.00%,Eyota ,1977,"1,977",1600000US2720114,2720114,$250.15,$36.34,422699,494546,71847,.1700,250.15,36.34
FAIRFAX,"$398,946.00","$439,942.00","$40,996.00",10.28%,Fairfax ,1235,"1,235",1600000US2720222,2720222,$356.23,$33.20,398946,439942,40996,.1028,356.23,33.20
FAIRMONT,"$3,722,165.00","$3,740,909.00","$18,744.00",0.50%,Fairmont ,10666,"10,666",1600000US2720330,2720330,$350.73,$1.76,3722165,3740909,18744,.0050,350.73,1.76
FALCON HEIGHTS,"$310,126.00","$503,707.00","$193,581.00",62.42%,Falcon Heights ,5321,"5,321",1600000US2720420,2720420,$94.66,$36.38,310126,503707,193581,.6242,94.66,36.38
FARIBAULT,"$4,772,748.00","$5,290,264.00","$517,516.00",10.84%,Faribault ,23352,"23,352",1600000US2720546,2720546,$226.54,$22.16,4772748,5290264,517516,.1084,226.54,22.16
FARMINGTON,$0.00,"$245,329.00","$245,329.00",0.00%,Farmington ,21086,"21,086",1600000US2720618,2720618,$11.63,$11.63,0,245329,245329,.0000,11.63,11.63
FARWELL,"$14,192.00","$14,192.00",$0.00,0.00%,Farwell ,51,51,1600000US2720690,2720690,$278.27,$0.00,14192,14192,0,.0000,278.27,0.00
FEDERAL DAM,$0.00,$0.00,$0.00,0.00%,Federal Dam ,110,110,1600000US2720798,2720798,$0.00,$0.00,0,0,0,.0000,0.00,0.00
FELTON,"$25,659.00","$29,195.00","$3,536.00",13.78%,Felton ,177,177,1600000US2720834,2720834,$164.94,$19.98,25659,29195,3536,.1378,164.94,19.98
FERGUS FALLS,"$3,563,824.00","$3,622,949.00","$59,125.00",1.66%,Fergus Falls ,13138,"13,138",1600000US2720906,2720906,$275.76,$4.50,3563824,3622949,59125,.0166,275.76,4.50
FERTILE,"$259,982.00","$288,565.00","$28,583.00",10.99%,Fertile ,842,842,1600000US2720978,2720978,$342.71,$33.95,259982,288565,28583,.1099,342.71,33.95
FIFTY LAKES,$0.00,$0.00,$0.00,0.00%,Fifty Lakes ,387,387,1600000US2721032,2721032,$0.00,$0.00,0,0,0,.0000,0.00,0.00
FINLAYSON,"$34,625.00","$42,009.00","$7,384.00",21.33%,Finlayson ,315,315,1600000US2721122,2721122,$133.36,$23.44,34625,42009,7384,.2133,133.36,23.44
FISHER,"$70,862.00","$89,869.00","$19,007.00",26.82%,Fisher ,435,435,1600000US2721158,2721158,$206.60,$43.69,70862,89869,19007,.2682,206.60,43.69
FLENSBURG,"$20,587.00","$27,322.00","$6,735.00",32.71%,Flensburg ,225,225,1600000US2721266,2721266,$121.43,$29.93,20587,27322,6735,.3271,121.43,29.93
FLOODWOOD,"$133,152.00","$151,209.00","$18,057.00",13.56%,Floodwood ,528,528,1600000US2721338,2721338,$286.38,$34.20,133152,151209,18057,.1356,286.38,34.20
FLORENCE,"$9,193.00","$9,602.00",$409.00,4.45%,Florence ,39,39,1600000US2721410,2721410,$246.21,$10.49,9193,9602,409,.0445,246.21,10.49
FOLEY,"$634,131.00","$725,340.00","$91,209.00",14.38%,Foley ,2603,"2,603",1600000US2721536,2721536,$278.66,$35.04,634131,725340,91209,.1438,278.66,35.04
FORADA,$0.00,$0.00,$0.00,0.00%,Forada ,185,185,1600000US2721608,2721608,$0.00,$0.00,0,0,0,.0000,0.00,0.00
FOREST LAKE,$0.00,"$56,004.00","$56,004.00",0.00%,Forest Lake ,18375,"18,375",1600000US2721770,2721770,$3.05,$3.05,0,56004,56004,.0000,3.05,3.05
FORESTON,"$68,533.00","$92,986.00","$24,453.00",35.68%,Foreston ,533,533,1600000US2721824,2721824,$174.46,$45.88,68533,92986,24453,.3568,174.46,45.88
FORT RIPLEY,$0.00,$0.00,$0.00,0.00%,Fort Ripley ,69,69,1600000US2721932,2721932,$0.00,$0.00,0,0,0,.0000,0.00,0.00
FOSSTON,"$531,772.00","$571,829.00","$40,057.00",7.53%,Fosston ,1527,"1,527",1600000US2721986,2721986,$374.48,$26.23,531772,571829,40057,.0753,374.48,26.23
FOUNTAIN,"$61,595.00","$68,555.00","$6,960.00",11.30%,Fountain ,410,410,1600000US2722094,2722094,$167.21,$16.98,61595,68555,6960,.1130,167.21,16.98
FOXHOME,"$24,020.00","$26,225.00","$2,205.00",9.18%,Foxhome ,116,116,1600000US2722202,2722202,$226.08,$19.01,24020,26225,2205,.0918,226.08,19.01
FRANKLIN,"$132,445.00","$152,058.00","$19,613.00",14.81%,Franklin ,510,510,1600000US2722364,2722364,$298.15,$38.46,132445,152058,19613,.1481,298.15,38.46
FRAZEE,"$429,375.00","$476,535.00","$47,160.00",10.98%,Frazee ,1350,"1,350",1600000US2722472,2722472,$352.99,$34.93,429375,476535,47160,.1098,352.99,34.93
FREEBORN,"$58,270.00","$69,220.00","$10,950.00",18.79%,Freeborn ,297,297,1600000US2722526,2722526,$233.06,$36.87,58270,69220,10950,.1879,233.06,36.87
FREEPORT,"$84,947.00","$108,215.00","$23,268.00",27.39%,Freeport ,632,632,1600000US2722652,2722652,$171.23,$36.82,84947,108215,23268,.2739,171.23,36.82
FRIDLEY,"$759,414.00","$1,211,026.00","$451,612.00",59.47%,Fridley ,27208,"27,208",1600000US2722814,2722814,$44.51,$16.60,759414,1211026,451612,.5947,44.51,16.60
FROST,"$49,882.00","$52,585.00","$2,703.00",5.42%,Frost ,198,198,1600000US2722940,2722940,$265.58,$13.65,49882,52585,2703,.0542,265.58,13.65
FULDA,"$402,389.00","$446,009.00","$43,620.00",10.84%,Fulda ,1318,"1,318",1600000US2722958,2722958,$338.40,$33.10,402389,446009,43620,.1084,338.40,33.10
FUNKLEY,$141.00,$141.00,$0.00,0.00%,Funkley ,5,5,1600000US2722976,2722976,$28.20,$0.00,141,141,0,.0000,28.20,0.00
GARFIELD,"$35,975.00","$45,797.00","$9,822.00",27.30%,Garfield ,354,354,1600000US2723120,2723120,$129.37,$27.75,35975,45797,9822,.2730,129.37,27.75
GARRISON,$0.00,$0.00,$0.00,0.00%,Garrison ,210,210,1600000US2723192,2723192,$0.00,$0.00,0,0,0,.0000,0.00,0.00
GARVIN,"$35,795.00","$37,522.00","$1,727.00",4.82%,Garvin ,135,135,1600000US2723228,2723228,$277.94,$12.79,35795,37522,1727,.0482,277.94,12.79
GARY,"$49,407.00","$51,976.00","$2,569.00",5.20%,Gary ,214,214,1600000US2723246,2723246,$242.88,$12.00,49407,51976,2569,.0520,242.88,12.00
GAYLORD,"$768,161.00","$838,313.00","$70,152.00",9.13%,Gaylord ,2305,"2,305",1600000US2723300,2723300,$363.69,$30.43,768161,838313,70152,.0913,363.69,30.43
GEM LAKE,$0.00,$0.00,$0.00,0.00%,Gem Lake ,393,393,1600000US2723318,2723318,$0.00,$0.00,0,0,0,.0000,0.00,0.00
GENEVA,"$64,937.00","$93,003.00","$28,066.00",43.22%,Geneva ,555,555,1600000US2723354,2723354,$167.57,$50.57,64937,93003,28066,.4322,167.57,50.57
GENOLA,$547.00,$547.00,$0.00,0.00%,Genola ,75,75,1600000US2723444,2723444,$7.29,$0.00,547,547,0,.0000,7.29,0.00
GEORGETOWN,"$12,022.00","$15,936.00","$3,914.00",32.56%,Georgetown ,129,129,1600000US2723498,2723498,$123.53,$30.34,12022,15936,3914,.3256,123.53,30.34
GHENT,"$78,035.00","$91,294.00","$13,259.00",16.99%,Ghent ,370,370,1600000US2723660,2723660,$246.74,$35.84,78035,91294,13259,.1699,246.74,35.84
GIBBON,"$216,241.00","$252,830.00","$36,589.00",16.92%,Gibbon ,772,772,1600000US2723678,2723678,$327.50,$47.40,216241,252830,36589,.1692,327.50,47.40
GILBERT,"$685,125.00","$706,175.00","$21,050.00",3.07%,Gilbert ,1799,"1,799",1600000US2723714,2723714,$392.54,$11.70,685125,706175,21050,.0307,392.54,11.70
GILMAN,"$9,574.00","$17,177.00","$7,603.00",79.41%,Gilman ,224,224,1600000US2723804,2723804,$76.68,$33.94,9574,17177,7603,.7941,76.68,33.94
GLENCOE,"$1,063,153.00","$1,294,117.00","$230,964.00",21.72%,Glencoe ,5631,"5,631",1600000US2723948,2723948,$229.82,$41.02,1063153,1294117,230964,.2172,229.82,41.02
GLENVILLE,"$181,068.00","$191,967.00","$10,899.00",6.02%,Glenville ,643,643,1600000US2724056,2724056,$298.55,$16.95,181068,191967,10899,.0602,298.55,16.95
GLENWOOD,"$634,282.00","$665,853.00","$31,571.00",4.98%,Glenwood ,2564,"2,564",1600000US2724074,2724074,$259.69,$12.31,634282,665853,31571,.0498,259.69,12.31
GLYNDON,"$272,438.00","$346,893.00","$74,455.00",27.33%,Glyndon ,1394,"1,394",1600000US2724182,2724182,$248.85,$53.41,272438,346893,74455,.2733,248.85,53.41
GOLDEN VALLEY,$0.00,"$219,081.00","$219,081.00",0.00%,Golden Valley ,20371,"20,371",1600000US2724308,2724308,$10.75,$10.75,0,219081,219081,.0000,10.75,10.75
GONVICK,"$60,511.00","$69,371.00","$8,860.00",14.64%,Gonvick ,282,282,1600000US2724344,2724344,$246.00,$31.42,60511,69371,8860,.1464,246.00,31.42
GOOD THUNDER,"$146,720.00","$163,763.00","$17,043.00",11.62%,Good Thunder ,583,583,1600000US2724506,2724506,$280.90,$29.23,146720,163763,17043,.1162,280.90,29.23
GOODHUE,"$203,727.00","$261,661.00","$57,934.00",28.44%,Goodhue ,1176,"1,176",1600000US2724398,2724398,$222.50,$49.26,203727,261661,57934,.2844,222.50,49.26
GOODRIDGE,"$22,707.00","$27,950.00","$5,243.00",23.09%,Goodridge ,132,132,1600000US2724470,2724470,$211.74,$39.72,22707,27950,5243,.2309,211.74,39.72
GOODVIEW,"$138,108.00","$250,841.00","$112,733.00",81.63%,Goodview ,4036,"4,036",1600000US2724524,2724524,$62.15,$27.93,138108,250841,112733,.8163,62.15,27.93
GRACEVILLE,"$186,713.00","$202,157.00","$15,444.00",8.27%,Graceville ,577,577,1600000US2724758,2724758,$350.36,$26.77,186713,202157,15444,.0827,350.36,26.77
