City;$2,013;$2,014;Difference;%Chg;GEO.display-label;Pophuman;Population;GEO.id;GEO.id2;2014pclga;2014pcincrease
BELGRADE;$180,345;$211,022;$30,677;17.01%;Belgrade ;740;740;1600000US2704762;2704762;$285.16;$41.46
BELLE PLAINE;$54,473;$279,862;$225,389;413.76%;Belle Plaine ;6,661;6661;1600000US2704834;2704834;$42.02;$33.84
BELLECHESTER;$17,774;$21,312;$3,538;19.91%;Bellechester ;175;175;1600000US2704798;2704798;$121.78;$20.22
BELLINGHAM;$61,143;$61,143;$0;0.00%;Bellingham ;168;168;1600000US2704960;2704960;$363.95;$0.00
BELTRAMI;$25,817;$25,817;$0;0.00%;Beltrami ;107;107;1600000US2705014;2705014;$241.28;$0.00
BELVIEW;$103,367;$114,645;$11,278;10.91%;Belview ;384;384;1600000US2705050;2705050;$298.55;$29.37
BEMIDJI;$2,906,194;$3,211,280;$305,086;10.50%;Bemidji ;13,431;13431;1600000US2705068;2705068;$239.09;$22.72
BENA;$27,257;$29,545;$2,288;8.39%;Bena ;116;116;1600000US2705104;2705104;$254.70;$19.72
BENSON;$776,650;$952,025;$175,375;22.58%;Benson ;3,240;3240;1600000US2705212;2705212;$293.83;$54.13
BERTHA;$132,871;$149,118;$16,247;12.23%;Bertha ;497;497;1600000US2705482;2705482;$300.04;$32.69
BETHEL;$35,117;$46,105;$10,988;31.29%;Bethel ;466;466;1600000US2705554;2705554;$98.94;$23.58
BIG FALLS;$67,827;$70,673;$2,846;4.20%;Big Falls ;236;236;1600000US2705680;2705680;$299.46;$12.06
BIG LAKE;$156,014;$481,542;$325,528;208.65%;Big Lake ;10,060;10060;1600000US2705752;2705752;$47.87;$32.36
BIGELOW;$49,185;$55,155;$5,970;12.14%;Bigelow ;235;235;1600000US2705644;2705644;$234.70;$25.40
BIGFORK;$80,363;$94,302;$13,939;17.35%;Bigfork ;446;446;1600000US2705698;2705698;$211.44;$31.25
