GEO.id,GEO.id2,GEO.display-label,D001
1600000US2708524,2708524,"Buhl city, Minnesota",1000
1600000US2708794,2708794,"Burnsville city, Minnesota",60306
1600000US2708902,2708902,"Burtrum city, Minnesota",144
1600000US2708992,2708992,"Butterfield city, Minnesota",586
1600000US2709154,2709154,"Byron city, Minnesota",4914
1600000US2709226,2709226,"Caledonia city, Minnesota",2868
1600000US2709280,2709280,"Callaway city, Minnesota",234
1600000US2709316,2709316,"Calumet city, Minnesota",367
1600000US2709370,2709370,"Cambridge city, Minnesota",8111
1600000US2709496,2709496,"Campbell city, Minnesota",158
1600000US2709604,2709604,"Canby city, Minnesota",1795
1600000US2709730,2709730,"Cannon Falls city, Minnesota",4083
1600000US2709802,2709802,"Canton city, Minnesota",346
1600000US2709964,2709964,"Carlos city, Minnesota",502
1600000US2710018,2710018,"Carlton city, Minnesota",862
1600000US2710144,2710144,"Carver city, Minnesota",3724
1600000US2710252,2710252,"Cass Lake city, Minnesota",770
1600000US2710468,2710468,"Cedar Mills city, Minnesota",45
1600000US2710576,2710576,"Center City city, Minnesota",628
1600000US2710648,2710648,"Centerville city, Minnesota",3792
1600000US2710792,2710792,"Ceylon city, Minnesota",369
1600000US2710846,2710846,"Champlin city, Minnesota",23089
1600000US2710900,2710900,"Chandler city, Minnesota",270
1600000US2710918,2710918,"Chanhassen city, Minnesota",22952
1600000US2710972,2710972,"Chaska city, Minnesota",23770
1600000US2711008,2711008,"Chatfield city, Minnesota",2779
1600000US2711296,2711296,"Chickamaw Beach city, Minnesota",114
1600000US2711350,2711350,"Chisago City city, Minnesota",4967
1600000US2711386,2711386,"Chisholm city, Minnesota",4976
1600000US2711440,2711440,"Chokio city, Minnesota",400
1600000US2711494,2711494,"Circle Pines city, Minnesota",4918
1600000US2711548,2711548,"Clara City city, Minnesota",1360
1600000US2711566,2711566,"Claremont city, Minnesota",548
1600000US2711602,2711602,"Clarissa city, Minnesota",681
1600000US2711656,2711656,"Clarkfield city, Minnesota",863
1600000US2711674,2711674,"Clarks Grove city, Minnesota",706
1600000US2711746,2711746,"Clearbrook city, Minnesota",518
1600000US2711764,2711764,"Clear Lake city, Minnesota",545
1600000US2711800,2711800,"Clearwater city, Minnesota",1735
1600000US2711836,2711836,"Clements city, Minnesota",153
1600000US2711872,2711872,"Cleveland city, Minnesota",719
1600000US2711962,2711962,"Climax city, Minnesota",267
1600000US2711980,2711980,"Clinton city, Minnesota",449
1600000US2712088,2712088,"Clitherall city, Minnesota",112
1600000US2712124,2712124,"Clontarf city, Minnesota",164
1600000US2712160,2712160,"Cloquet city, Minnesota",12124
1600000US2712376,2712376,"Coates city, Minnesota",161
1600000US2712394,2712394,"Cobden city, Minnesota",36
1600000US2712412,2712412,"Cohasset city, Minnesota",2698
1600000US2712430,2712430,"Cokato city, Minnesota",2694
1600000US2712484,2712484,"Cold Spring city, Minnesota",4025
